type;brand;brand_cyrillic;model;model_cyrillic;generation;body;modification;year_from;year_to;popular
TRUCK;Altkam;Альткам;5443;5443;;;;;;0
TRUCK;Altkam;Альткам;6491;6491;;;;;;0
TRUCK;Altkam;Альткам;6550;;;;;;;0
TRUCK;ASHOK LEYLAND;Ашок Лиланд;BOSS;Босс;;;;;;0
TRUCK;ASHOK LEYLAND;Ашок Лиланд;Partner;Партнер;;;;;;0
TRUCK;ASTRA;Астра;HD7 Serie;Эйч Ди 7 Серия;;;;;;0
TRUCK;ASTRA;Астра;HD8 Serie;Эйч Ди 8 Серия;;;;;;0
TRUCK;ASTRA;Астра;HD9 Serie;Эйч Ди 9 Серия;;;;;;0
TRUCK;Avia;Авиа;A21;А21;;;;;;0
TRUCK;Avia;Авиа;A31;А31;;;;;;0
TRUCK;Avia;Авиа;A60;А60;;;;;;0
TRUCK;Avia;Авиа;A65;А65;;;;;;0
TRUCK;Avia;Авиа;A75;А75;;;;;;0
TRUCK;Avia;Авиа;A80;А80;;;;;;0
TRUCK;Avia;Авиа;AD100;АД100;;;;;;0
TRUCK;Avia;Авиа;D - Series;Д - Серия;;;;;;0
TRUCK;BAW;БАВ;Fenix;Феникс;;;;;;0
TRUCK;Bedford;бедфорд;TK;ТК;;;;;;0
TRUCK;Beiben (North Benz);Бейбен;ND3250;НД3250;;;;;;0
TRUCK;BMC;Би-Эм-Си;Fatih;Фатих;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-518;ПРО-518;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-617;Про-617;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-620;Про-620;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-622;Pro-622;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-625;Про-625;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-628;Про-628;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-822;Про-822;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-827;Про-827;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-832;Pro-832;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-935;Про-935;;;;;;0
TRUCK;Bucher;Басхер;Duro;Дуро;;;;;;0
TRUCK;Bucher;Басхер;LTV;ЛТВ;;;;;;0
TRUCK;C&C Trucks;СэндС Тракс;N332;Н322;;;;;;0
TRUCK;CAMC;КАМК;HN 3250;ХН 3250;;;;;;0
TRUCK;CAMC;КАМК;HN 3310;ХН 3310;;;;;;0
TRUCK;Changan;Чанган;SC1030/1040;;;;;;;0
TRUCK;Chevrolet;Шевроле;Kodiak;Кодиак;;;;;;1
TRUCK;Chevrolet;Шевроле;T-Series;Т-Серия;;;;;;1
TRUCK;Chevrolet;Шевроле;W-Series;В-Серия;;;;;;1
TRUCK;Daewoo;Дэу;Novus;Новус;;;;;;1
TRUCK;Daewoo;Дэу;Prima;Прима;;;;;;1
TRUCK;Daewoo;Дэу;Ultra Novus;Ультра Новус;;;;;;1
TRUCK;DAF;ДАФ;CF (2013-н.в);Си Эф;;;;;;0
TRUCK;DAF;ДАФ;CF 65;ЦФ 65;;;;;;0
TRUCK;DAF;ДАФ;CF 75;ЦФ 75;;;;;;0
TRUCK;DAF;ДАФ;CF 85;ЦФ 85;;;;;;0
TRUCK;DAF;ДАФ;F-series;Ф Серия;;;;;;0
TRUCK;DAF;ДАФ;LF (2013-н.в);Эль Эф;;;;;;0
TRUCK;DAF;ДАФ;LF 45;ЛФ 45;;;;;;0
TRUCK;DAF;ДАФ;LF 55;ЛФ 55;;;;;;0
TRUCK;DAF;ДАФ;XF;;;;;;;0
TRUCK;DAF;ДАФ;XF 105;ХФ 105;;;;;;0
TRUCK;DAF;ДАФ;XF 95;;;;;;;0
TRUCK;Daihatsu;Дайхатсу;Delta;Дельта;;;;;;0
TRUCK;Dayun;Даюн;CGC3251;СГС3251;;;;;;0
TRUCK;Dayun;Даюн;CGC3310;СГс3310;;;;;;0
TRUCK;Dodge;Додж;RAM;РАМ;;;;;;0
TRUCK;DongFeng;ДонгФенг;DFA-series;ДФА-серия;;;;;;0
TRUCK;DongFeng;ДонгФенг;DFL 3251A;ДФЛ-серия;;;;;;0
TRUCK;DongFeng;ДонгФенг;DFL 3261A;ДФЛ-серия;;;;;;0
TRUCK;DongFeng;ДонгФенг;DFL 3310A;ДФЛ-серия;;;;;;0
TRUCK;DongFeng;ДонгФенг;EQ1061;ЕКью1061;;;;;;0
TRUCK;DongFeng;ДонгФенг;EQ1063;ЕКью1063;;;;;;0
TRUCK;DongFeng;ДонгФенг;EQ1074;ЕКью1074;;;;;;0
TRUCK;DongFeng;ДонгФенг;EQ3312;ЕКУ3312;;;;;;0
TRUCK;FAW;ФАВ;10xx/11xx;10ХХ;;;;;;0
TRUCK;FAW;ФАВ;CA5122;ЦА5122;;;;;;0
TRUCK;FAW;ФАВ;J5 CA3252/3253;ЦА3252;;;;;;0
TRUCK;FAW;ФАВ;J5 CA3312;Джи5 СА3312;;;;;;0
TRUCK;FAW;ФАВ;J6 CA3250;ЦА3250;;;;;;0
TRUCK;FAW;ФАВ;J6 CA3310;Джи6 СА3310;;;;;;0
TRUCK;FAW;ФАВ;Tiger V;;;;;;;0
TRUCK;Ford;Форд;6 (G8T);6 (Г8Т);;;;;;1
TRUCK;Ford;Форд;Cargo 08xx;Карго 08хх;;;;;;1
TRUCK;Ford;Форд;Cargo 18xx;Карго 18хх;;;;;;1
TRUCK;Ford;Форд;Cargo 25xx;Карго 25хх;;;;;;1
TRUCK;Ford;Форд;Cargo 26xx;Карго 26хх;;;;;;1
TRUCK;Ford;Форд;Cargo 32xx;Карго 32хх;;;;;;1
TRUCK;Ford;Форд;Cargo 35xx;Карго 35хх;;;;;;1
TRUCK;Ford;Форд;Cargo 39xx;Карго 39хх;;;;;;1
TRUCK;Ford;Форд;Cargo 41xx;Карго 41хх;;;;;;1
TRUCK;Ford;Форд;F-53;Ф-53;;;;;;1
TRUCK;Ford;Форд;F-59;Ф-59;;;;;;1
TRUCK;Ford;Форд;F-series (F-650, F-750);Ф-650;;;;;;1
TRUCK;Ford;Форд;LCF;ЛСФ;;;;;;1
TRUCK;Ford;Форд;Transit;;;;;;;1
TRUCK;Foton;Фотон;Auman BJ10xx;Ауман БиДжей10(xx);;;;;;0
TRUCK;Foton;Фотон;Auman BJ11xx;Ауман БиДжей1113;;;;;;0
TRUCK;Foton;Фотон;Auman BJ12xx;Аурман БЖ12хх;;;;;;0
TRUCK;Foton;Фотон;Auman BJ32xx;Ауман БиДжей32хх;;;;;;0
TRUCK;Foton;Фотон;Auman BJ33xx;Ауман БиДжей3313;;;;;;0
TRUCK;Foton;Фотон;Auman BJ51xx;Аурман БЖ51хх;;;;;;0
TRUCK;Foton;Фотон;Aumark BJ10xx/11xx;Аумарк БиДжей 10хх;;;;;;0
TRUCK;Foton;Фотон;Est M;ЕСТ М;;;;;;0
TRUCK;Foton;Фотон;Forland BJ30xx;Форланд БЖ30хх;;;;;;0
TRUCK;Foton;Фотон;Ollin BJ10xx;Оллин БЖ10хх;;;;;;0
TRUCK;Foton;Фотон;Ollin BJ11xx;Оллин БЖ11хх;;;;;;0
TRUCK;Freightliner;Фрейтлайнер;Business Class (FL);Бизнес Класс (ФЛ);;;;;;0
TRUCK;Freightliner;Фрейтлайнер;Business Class (M2);Бизнес Класс (М2);;;;;;0
TRUCK;Fuso (Mitsubishi);Фусо;Canter;Кантер;;;;;;1
TRUCK;Fuso (Mitsubishi);Фусо;Fighter;Файтер;;;;;;1
TRUCK;Fuso (Mitsubishi);Фусо;Super Great;Супер Грейт;;;;;;1
TRUCK;Ginaf;Жинаф;M 3331;;;;;;;0
TRUCK;GMC;джиэмси;T-series;Т-серия;;;;;;0
TRUCK;GMC;джиэмси;TopKick C4500;ТопКик Си4500;;;;;;0
TRUCK;GMC;джиэмси;TopKick C5500;ТопКик Си5500;;;;;;0
TRUCK;GMC;джиэмси;TopKick C6500;ТопКик Си6500;;;;;;0
TRUCK;GMC;джиэмси;TopKick C7500;ТопКик Си7500;;;;;;0
TRUCK;GMC;джиэмси;TopKick C8500;ТопКик Си8500;;;;;;0
TRUCK;GMC;джиэмси;W-series;В-Серия;;;;;;0
TRUCK;Hino;Хино;185;;;;;;;0
TRUCK;Hino;Хино;Profia;;;;;;;0
TRUCK;Hino;Хино;Series 300 (Dutro);300 Дутро;;;;;;0
TRUCK;Hino;Хино;Series 500 (Ranger);500 Рэйнджер;;;;;;0
TRUCK;Hino;Хино;Series 700 (Profia);700 Профиа;;;;;;0
TRUCK;Hino;Хино;Super Dolphin;Супер Дельфин;;;;;;0
TRUCK;Howo;Хово;4X2;4Х2;;;;;;0
TRUCK;Howo;Хово;C7H;С7АШ;;;;;;0
TRUCK;Howo;Хово;HW76;АШВ76;;;;;;0
TRUCK;Howo;Хово;T5G;Т5ДЖИ;;;;;;0
TRUCK;Howo;Хово;Прочие Кабины;Самосвалы;;;;;;0
TRUCK;Hyundai;хендэ;Gold;;;;;;;1
TRUCK;Hyundai;хендэ;HD120;ХД 120;;;;;;1
TRUCK;Hyundai;хендэ;HD160;ХД 160;;;;;;1
TRUCK;Hyundai;хендэ;HD170;ХД 170;;;;;;1
TRUCK;Hyundai;хендэ;HD250;ХД 250;;;;;;1
TRUCK;Hyundai;хендэ;HD260;ХД 260;;;;;;1
TRUCK;Hyundai;хендэ;HD270;ХД 270;;;;;;1
TRUCK;Hyundai;хендэ;HD310;ХД 310;;;;;;1
TRUCK;Hyundai;хендэ;HD320;ХД 320;;;;;;1
TRUCK;Hyundai;хендэ;HD370;ХД370;;;;;;1
TRUCK;Hyundai;хендэ;HD380;ХД 380;;;;;;1
TRUCK;Hyundai;хендэ;HD45;ХД45;;;;;;1
TRUCK;Hyundai;хендэ;HD65;ХД65;;;;;;1
TRUCK;Hyundai;хендэ;HD72;ХД72;;;;;;1
TRUCK;Hyundai;хендэ;HD78;ХД78;;;;;;1
TRUCK;Hyundai;хендэ;MegaTruck;МегаТрак;;;;;;1
TRUCK;Hyundai;хендэ;Mighty;Майти;;;;;;1
TRUCK;Hyundai;хендэ;New Power Truck;Пауэр Трак;;;;;;1
TRUCK;Hyundai;хендэ;Trago;Траго;;;;;;1
TRUCK;Hyundai;хендэ;Xcient;;;;;;;1
TRUCK;IFA;ИФА;L60;;;;;;;0
TRUCK;IFA;ИФА;W50;В50;;;;;;0
TRUCK;International;Интернэшнл;1000 Series;1000 Серия;;;;;;0
TRUCK;International;Интернэшнл;4000 Series;4000 Серия;;;;;;0
TRUCK;International;Интернэшнл;CityStar;СитиСтар;;;;;;0
TRUCK;International;Интернэшнл;DuraStar/TerraStar;ДюраСтар/ТерраСтар;;;;;;0
TRUCK;International;Интернэшнл;Loadstar;Лоудстар;;;;;;0
TRUCK;International;Интернэшнл;S-Series;С-серия;;;;;;0
TRUCK;International;Интернэшнл;XT;ХТ;;;;;;0
TRUCK;Isuzu;Исузу;Elf (N-series);Эльф;;;;;;0
TRUCK;Isuzu;Исузу;Forward (F-Series);Форвард;;;;;;0
TRUCK;Isuzu;Исузу;Giga (C-series);Гига;;;;;;0
TRUCK;Isuzu;Исузу;V340;;;;;;;0
TRUCK;IVECO;Ивеко;682;;;;;;;0
TRUCK;IVECO;Ивеко;Daily;Дейли;;;;;;0
TRUCK;IVECO;Ивеко;EuroCargo;ЕвроКарго;;;;;;0
TRUCK;IVECO;Ивеко;EuroStar;ЕвроСтар;;;;;;0
TRUCK;IVECO;Ивеко;EuroTech;ЕвроТех;;;;;;0
TRUCK;IVECO;Ивеко;EuroTrakker;ЕвроТреккер;;;;;;0
TRUCK;IVECO;Ивеко;Magirus;;;;;;;0
TRUCK;IVECO;Ивеко;Stralis;Стралис;;;;;;0
TRUCK;IVECO;Ивеко;Trakker;Треккер;;;;;;0
TRUCK;IVECO;Ивеко;Turbo;Турбо;;;;;;0
TRUCK;IVECO;Ивеко;Zeta;Зета;;;;;;0
TRUCK;IVECO-Hongyan;Ивеко-ХонЯн;6x4 (CQ3254/3255);6х4 (ЦКью3254/3255);;;;;;0
TRUCK;IVECO-Hongyan;Ивеко-ХонЯн;8x4 (CQ1314/3304/3314);8х4 (ЦКью1314/3304/3314);;;;;;0
TRUCK;IVECO-Ling Ye;Ивеко Линг Йе;NJ3250;НДжи3250;;;;;;0
TRUCK;Iveco-АМТ;Ивеко-АМТ;5531;;;;;;;0
TRUCK;Iveco-АМТ;Ивеко-АМТ;6329;;;;;;;0
TRUCK;Iveco-АМТ;Ивеко-АМТ;6539;;;;;;;0
TRUCK;Iveco-АМТ;Ивеко-АМТ;7539;7539;;;;;;0
TRUCK;JAC;Джак;Gallop;Галлоп;;;;;;0
TRUCK;JAC;Джак;HFC 1042K;ХФС 1042К;;;;;;0
TRUCK;JAC;Джак;HFC 1063K;ХФС 1063К;;;;;;0
TRUCK;JAC;Джак;HFC 1083K;ХФС 1083К;;;;;;0
TRUCK;JAC;Джак;HFC 3252;ХФЦ 3252;;;;;;0
TRUCK;JAC;Джак;N120;Н120;;;;;;0
TRUCK;JAC;Джак;N350;Н350;;;;;;0
TRUCK;JAC;Джак;N56;Н-Серия;;;;;;0
TRUCK;JAC;Джак;N75;Н-Серия;;;;;;0
TRUCK;JAC;Джак;N80;;;;;;;0
TRUCK;JAC;Джак;N90;Н90;;;;;;0
TRUCK;JBC;ДжейБиСи;SY1060;СИ1060;;;;;;0
TRUCK;JMC;ДжейЭмСи;1051;1051;;;;;;0
TRUCK;JMC;ДжейЭмСи;1052;;;;;;;0
TRUCK;Kenworth;кенворт;C500;Ц500;;;;;;0
TRUCK;Kenworth;кенворт;K100;K100;;;;;;0
TRUCK;Kenworth;кенворт;K220;К220;;;;;;0
TRUCK;Kenworth;кенворт;T300;Т300;;;;;;0
TRUCK;Kenworth;кенворт;T400;Т400;;;;;;0
TRUCK;Kenworth;кенворт;T450;Т450;;;;;;0
TRUCK;Kenworth;кенворт;T600;Т600;;;;;;0
TRUCK;Kenworth;кенворт;T800;Т800;;;;;;0
TRUCK;Kenworth;кенворт;W900;В900;;;;;;0
TRUCK;Kenworth;кенворт;W925;В925;;;;;;0
TRUCK;Kia;Киа;Bongo;Бонго;;;;;;1
TRUCK;Kia;Киа;Granto;Гранто;;;;;;1
TRUCK;Kia;Киа;Rhino;Рино;;;;;;1
TRUCK;Kia;Киа;Titan;Титан;;;;;;1
TRUCK;Kia;Киа;Trade;Трейд;;;;;;1
TRUCK;Mack;МАК;CH;Си Эйч;;;;;;0
TRUCK;Mack;МАК;CL;Си Эль;;;;;;0
TRUCK;Mack;МАК;DM/DMM;Ди Эм;;;;;;0
TRUCK;Mack;МАК;Granite (CV);Гранит;;;;;;0
TRUCK;Mack;МАК;Mid-Liner (CS);Мид-лайнер;;;;;;0
TRUCK;Mack;МАК;Mid-Liner (MS);Мид-Лайнер МС;;;;;;0
TRUCK;Mack;МАК;R/RS/RL/RD;Р-серия;;;;;;0
TRUCK;Mack;МАК;Super-Liner (RW);Супер-Лайнер РВ;;;;;;0
TRUCK;Mack;МАК;Vision (CX);Си Икс;;;;;;0
TRUCK;Magirus;Магирус;232D;232Д;;;;;;0
TRUCK;Magirus;Магирус;290D;290Д;;;;;;0
TRUCK;MAN;Ман;10;;;;;;;0
TRUCK;MAN;Ман;12;;;;;;;0
TRUCK;MAN;Ман;13;;;;;;;0
TRUCK;MAN;Ман;14;;;;;;;0
TRUCK;MAN;Ман;16;;;;;;;0
TRUCK;MAN;Ман;18;;;;;;;0
TRUCK;MAN;Ман;19;;;;;;;0
TRUCK;MAN;Ман;22;;;;;;;0
TRUCK;MAN;Ман;24;;;;;;;0
TRUCK;MAN;Ман;25;;;;;;;0
TRUCK;MAN;Ман;26;;;;;;;0
TRUCK;MAN;Ман;27;;;;;;;0
TRUCK;MAN;Ман;32;;;;;;;0
TRUCK;MAN;Ман;33;;;;;;;0
TRUCK;MAN;Ман;41;;;;;;;0
TRUCK;MAN;Ман;8;;;;;;;0
TRUCK;MAN;Ман;9;;;;;;;0
TRUCK;MAN;Ман;F (F7/F8/F9/F90);Ф;;;;;;0
TRUCK;MAN;Ман;F 2000;Ф 2000;;;;;;0
TRUCK;MAN;Ман;G 90;Г 90;;;;;;0
TRUCK;MAN;Ман;KAT;КАТ;;;;;;0
TRUCK;MAN;Ман;LE/L 2000;ЛЕ 2000;;;;;;0
TRUCK;MAN;Ман;M 2000;М 2000;;;;;;0
TRUCK;MAN;Ман;M 90;М 90;;;;;;0
TRUCK;MAN;Ман;TGA;ТГА;;;;;;0
TRUCK;MAN;Ман;TGL;ТГЛ;;;;;;0
TRUCK;MAN;Ман;TGM;ТГМ;;;;;;0
TRUCK;MAN;Ман;TGS;ТГС;;;;;;0
TRUCK;MAN;Ман;TGX;ТГХ;;;;;;0
TRUCK;MAN;Ман;Самосвалы TGA;Самосвалы ТГА;;;;;;0
TRUCK;Mazda;мазда;Titan;Титан;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;1117;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;1320;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;1424;1424;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;1517;1517;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;1622;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;1735;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;1824;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;1827;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;210D;210Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;2435;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;308D;308Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;408D;408Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;410D;410Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;508D;508Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;609D;609Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;612D;612Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;709D;709Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;711D;711Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;809;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;811D;811Д;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;814;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;817;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;914;;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;Actros;Актрос;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;Arocs;Арокс;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;Atego;Атего;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;Axor;Аксор;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;L 710;Л 710;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;L 911;Л 911;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;LK;ЛК;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;LP;ЛП;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;NG;НГ;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;SK;СК;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;Unimog;Юнимог;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;Vario;Варио;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;Zetros;Зетрос;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;Фургон (4х2);;;;;;;1
TRUCK;Mercedes-Benz;Мерседес-бенц;Фургон (6х2);;;;;;;1
TRUCK;Mudan;мудан;MD1042;МД1042;;;;;;0
TRUCK;Mudan;мудан;MD1043;МД1043;;;;;;0
TRUCK;Mudan;мудан;MD1044;МД1044;;;;;;0
TRUCK;Mudan;мудан;MD5043;МД5043;;;;;;0
TRUCK;Naveco;навеко;C300;С300;;;;;;0
TRUCK;Naveco;навеко;C500;С500;;;;;;0
TRUCK;Nissan;ниссан;Atlas;Атлас;;;;;;1
TRUCK;Nissan;ниссан;Atleon;Атлеон;;;;;;1
TRUCK;Nissan;ниссан;Cabstar;Кабстар;;;;;;1
TRUCK;Nissan;ниссан;Diesel;Дизель ЮД;;;;;;1
TRUCK;Nissan;ниссан;Diesel Condor;Дизель Кондор;;;;;;1
TRUCK;Peterbilt;петербилт;320;;;;;;;0
TRUCK;Peterbilt;петербилт;330;;;;;;;0
TRUCK;Peterbilt;петербилт;335/340;;;;;;;0
TRUCK;Peterbilt;петербилт;357;;;;;;;0
TRUCK;Peugeot;пежо;Boxer;Боксер;;;;;;1
TRUCK;Praga;прага;V3S;В3С;;;;;;0
TRUCK;Renault;Рено;C-Series;Си-Серия;;;;;;1
TRUCK;Renault;Рено;D-Series;Д-Серия;;;;;;1
TRUCK;Renault;Рено;G200;Г200;;;;;;1
TRUCK;Renault;Рено;G230;Г230;;;;;;1
TRUCK;Renault;Рено;K-Series;К-Серия;;;;;;1
TRUCK;Renault;Рено;Kerax;Керакс;;;;;;1
TRUCK;Renault;Рено;Magnum;Магнум;;;;;;1
TRUCK;Renault;Рено;Major;Мэйджор;;;;;;1
TRUCK;Renault;Рено;Manager;Менеджер;;;;;;1
TRUCK;Renault;Рено;Mascott;Маскот;;;;;;1
TRUCK;Renault;Рено;Master;Мастер;;;;;;1
TRUCK;Renault;Рено;Midliner;Мидлайнер;;;;;;1
TRUCK;Renault;Рено;Midlum;Мидлум;;;;;;1
TRUCK;Renault;Рено;Premium;Премиум;;;;;;1
TRUCK;Renault;Рено;T-Series;T-Серия;;;;;;1
TRUCK;Robur;робур;LO;ЛО;;;;;;0
TRUCK;Samsung;Самсунг;SM510;СМ510;;;;;;0
TRUCK;Saurer;Саурер;2DM;2ДМ;;;;;;0
TRUCK;Scania;скания;2-Series;2-Серия;;;;;;0
TRUCK;Scania;скания;3-Series;3-Серия;;;;;;0
TRUCK;Scania;скания;4-Series;4-Серия;;;;;;0
TRUCK;Scania;скания;93;;;;;;;0
TRUCK;Scania;скания;G-series;Джи-Серия;;;;;;0
TRUCK;Scania;скания;M;М;;;;;;0
TRUCK;Scania;скания;P-series;П-серия;;;;;;0
TRUCK;Scania;скания;R-Series;Р-серия;;;;;;0
TRUCK;Scania;скания;S-Series;С-Серия;;;;;;0
TRUCK;Scania;скания;T-Series;Т-серия;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3251;СХ3251;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3254;СХ3254;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3255;СХ3255;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3256;СХ3256;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3257;СХ3257;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3258;СХ3258;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3315;СХ3315;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3316;СХ3316;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3317;СХ3317;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX3318;СХ3318;;;;;;0
TRUCK;Shacman (Shaanxi);шакман;SX5188;;;;;;;0
TRUCK;Shandong KAMA;шандон кама;KMC3071;КМЦ3071;;;;;;0
TRUCK;Shenye;Шенье;ZJZ3251;ЗДжейЗ3251;;;;;;0
TRUCK;ShiFeng;ШиФинг;SSF 1040;ССФ 1040;;;;;;0
TRUCK;Silant;Силант;2868;;;;;;;0
TRUCK;Sinotruk Hania (Howo);Хания;6x2;6Х2;;;;;;0
TRUCK;Sinotruk Hania (Howo);Хания;6x4;6Х4;;;;;;0
TRUCK;Sinotruk Hania (Howo);Хания;8x4;8Х4;;;;;;0
TRUCK;Sisu;Сису;E11;Е11;;;;;;0
TRUCK;Sisu;Сису;E12;Е12;;;;;;0
TRUCK;Sisu;Сису;E14;Е14;;;;;;0
TRUCK;Sisu;Сису;E18;Е18;;;;;;0
TRUCK;Sisu;Сису;S-Series;С Серия;;;;;;0
TRUCK;Skoda;Шкода;706;;;;;;;1
TRUCK;Skoda LIAZ;Шкода-ЛИАЗ;FZ;ФЗ;;;;;;0
TRUCK;Skoda LIAZ;Шкода-ЛИАЗ;Series 100;Серия 100;;;;;;0
TRUCK;Skoda LIAZ;Шкода-ЛИАЗ;Series 200;Серия 200;;;;;;0
TRUCK;Skoda LIAZ;Шкода-ЛИАЗ;Series 300;Серия 300;;;;;;0
TRUCK;Skoda LIAZ;Шкода-ЛИАЗ;Series 400;Серия 400;;;;;;0
TRUCK;Star;Стар;266;;;;;;;0
TRUCK;Sterling;Стирлинг;Acterra;Актерра;;;;;;0
TRUCK;Sterling;Стирлинг;Bullet;Буллет;;;;;;0
TRUCK;Sterling;Стирлинг;L-line;Л-Лайн;;;;;;0
TRUCK;Steyr;Штейр;15s21;15с21;;;;;;0
TRUCK;Steyr;Штейр;32S32;;;;;;;0
TRUCK;Steyr;Штейр;8s18;;;;;;;0
TRUCK;Studebaker;студебекер;US6;УС6;;;;;;0
TRUCK;TATA;Тата;407;;;;;;;0
TRUCK;TATA;Тата;613;;;;;;;0
TRUCK;TATA;Тата;LPT;ЛПТ;;;;;;0
TRUCK;Tatra;Татра;ARMAX;Армакс;;;;;;0
TRUCK;Tatra;Татра;T 148;Т 148;;;;;;0
TRUCK;Tatra;Татра;T 158 Phoenix;Феникс;;;;;;0
TRUCK;Tatra;Татра;T 163 Jamal;Ямал;;;;;;0
TRUCK;Tatra;Татра;T 810;Т 810;;;;;;0
TRUCK;Tatra;Татра;T 815;Т 815;;;;;;0
TRUCK;Terberg;Терберг;FL-Series;ФЛ-Серия;;;;;;0
TRUCK;Terberg;Терберг;FM-Series;ФМ-Серия;;;;;;0
TRUCK;Tiema;Тиема;XC3240;ХС3240;;;;;;0
TRUCK;Tiema;Тиема;XC3318A;ХС3318А;;;;;;0
TRUCK;Titan;Титан;Z72;З72;;;;;;0
TRUCK;Titan;Титан;Z80;з80;;;;;;0
TRUCK;Toyota;Тойота;Dyna;Дино;;;;;;1
TRUCK;Toyota;Тойота;Hino;Хино;;;;;;1
TRUCK;Volkswagen;Фольксваген;Constellation;Констеллейшн;;;;;;1
TRUCK;Volkswagen;Фольксваген;Crafter;Крафтер;;;;;;1
TRUCK;Volkswagen;Фольксваген;LT;ЛТ;;;;;;1
TRUCK;Volvo;Вольво;F-Series;Ф-Серия;;;;;;1
TRUCK;Volvo;Вольво;FE;ФЕ;;;;;;1
TRUCK;Volvo;Вольво;FH;ФХ;;;;;;1
TRUCK;Volvo;Вольво;FL;ФЛ;;;;;;1
TRUCK;Volvo;Вольво;FM;ФМ;;;;;;1
TRUCK;Volvo;Вольво;FMX;ФМХ;;;;;;1
TRUCK;Volvo;Вольво;FS;ФС;;;;;;1
TRUCK;Volvo;Вольво;N;Н;;;;;;1
TRUCK;Volvo;Вольво;NH;НХ;;;;;;1
TRUCK;Volvo;Вольво;VHD;ВХД;;;;;;1
TRUCK;WAW;ВАВ;FD1040;ФД1040;;;;;;0
TRUCK;Western Star;Вестерн стар;4900;;;;;;;0
TRUCK;Western Star;Вестерн стар;6900;;;;;;;0
TRUCK;Youngman;Юнгман;YTQ3250;УТКью3250;;;;;;0
TRUCK;Yuejin;Юцзинь;1042;;;;;;;0
TRUCK;Yuejin;Юцзинь;1080;;;;;;;0
